INPUT-#Scan#	INPUT-SpectrumID	INPUT-Compound_Name	INPUT-InChIKey-Planar	Tag_Status1	Action1	Add_InCHIKey-Planar	Cannot_Add_InChIKey-Planar	Tag_Status2	Action2	Add_Tag1	Add_Tag2	Add_Tag3	Contribute-NCBITaxonomy1	Contribute-NCBITaxonomy2	Contribute-NCBITaxonomy3	Contribute-UBERONTag1	Contribute-UBERONTag2	Contribute-UBERONTag3	Contribute-LifestyleTag1	Contribute-LifestyleTag2	Contribute-LifestyleTag3	Current_Tags	Current_NCBITaxonomy	Current_UBERON	Current_Lifestyle
201579	CCMSLIB00003139867	Spectral Match to DL-.beta.-Hydroxypalmitic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
201581	CCMSLIB00003136526	Spectral Match to cis-9-Hexadecenoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
201588	CCMSLIB00003136157	Spectral Match to Palmitelaidic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
201701	CCMSLIB00003139755	Spectral Match to Palmitelaidic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
205754	CCMSLIB00003135927	Spectral Match to Palmitamide from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
205806	CCMSLIB00003137100	Spectral Match to Palmitamide from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
205841	CCMSLIB00003137100	Spectral Match to Palmitamide from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
206410	CCMSLIB00003135927	Spectral Match to Palmitamide from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
208274	CCMSLIB00003134629	Spectral Match to Pterostilbene from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
211778	CCMSLIB00000213342	Massbank:FFF00149 5-beta-Androstane-3-alpha,17-beta-diol|Etiocholane-3-alpha,17-beta-diol	CBMYJHIOYJEBSB	Tags Present	Check Current Tags and Add if Incomplete																	animal|plant|bacterial|food|human			food consumption
211812	CCMSLIB00000213340	Massbank:FFF00148 5-beta-Androstane-3-alpha,17-beta-diol|Etiocholane-3-alpha,17-beta-diol	CBMYJHIOYJEBSB	Tags Present	Check Current Tags and Add if Incomplete																	animal|plant|bacterial|food|human			food consumption
212708	CCMSLIB00000213344	Massbank:FFF00150 5-beta-Androstane-3-alpha,17-beta-diol|Etiocholane-3-alpha,17-beta-diol	CBMYJHIOYJEBSB	Tags Present	Check Current Tags and Add if Incomplete																	animal|plant|bacterial|food|human			food consumption
213006	CCMSLIB00000213342	Massbank:FFF00149 5-beta-Androstane-3-alpha,17-beta-diol|Etiocholane-3-alpha,17-beta-diol	CBMYJHIOYJEBSB	Tags Present	Check Current Tags and Add if Incomplete																	animal|plant|bacterial|food|human			food consumption
213010	CCMSLIB00000213342	Massbank:FFF00149 5-beta-Androstane-3-alpha,17-beta-diol|Etiocholane-3-alpha,17-beta-diol	CBMYJHIOYJEBSB	Tags Present	Check Current Tags and Add if Incomplete																	animal|plant|bacterial|food|human			food consumption
213089	CCMSLIB00000213340	Massbank:FFF00148 5-beta-Androstane-3-alpha,17-beta-diol|Etiocholane-3-alpha,17-beta-diol	CBMYJHIOYJEBSB	Tags Present	Check Current Tags and Add if Incomplete																	animal|plant|bacterial|food|human			food consumption
213097	CCMSLIB00000213340	Massbank:FFF00148 5-beta-Androstane-3-alpha,17-beta-diol|Etiocholane-3-alpha,17-beta-diol	CBMYJHIOYJEBSB	Tags Present	Check Current Tags and Add if Incomplete																	animal|plant|bacterial|food|human			food consumption
216518	CCMSLIB00003135657	Spectral Match to Dibutyl adipate from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
216983	CCMSLIB00003137734	Spectral Match to Ile-Lys from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
217372	CCMSLIB00000221538	Massbank:MT000135 DL-Hexanoylcarnitine|hexanoylcarnitine	VVPRQWTYSNDTEA	Tags Present	Check Current Tags and Add if Incomplete																	food|human|marine_diatom|dissolvedorganicmatter_water_saline|microalgal	9606|Homo sapiens:41953|Pseudo-nitzschia		food consumption
218319	CCMSLIB00000221420	Massbank:MT000016 gamma-Glutamylleucine	MYFMARDICOWMQP	Tags Present	Check Current Tags and Add if Incomplete																	food|human|naturalproduct|bacterial|bacterial_produced	9606|Homo sapiens		food consumption
220761	CCMSLIB00003135893	Spectral Match to Leu-Glu from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
220763	CCMSLIB00003134776	Spectral Match to Ile-Glu from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
220777	CCMSLIB00003134776	Spectral Match to Ile-Glu from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
221584	CCMSLIB00000007061	cyclo(Phe-Leu)	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
221931	CCMSLIB00005722220	NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid [IIN-based on: CCMSLIB00000846585]	GQEOLYBERRZZCE	Tags Missing	Add Tags																				
223818	CCMSLIB00003139611	Spectral Match to Met-Leu from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
223986	CCMSLIB00003138437	Spectral Match to Lithocholic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
224014	CCMSLIB00000852700	NCGC00380971-01_C17H28O3_(1R,2R,4aS,8aS)-2-[(2R)-2-Hydroxybutyl]-1,3-dimethyl-1,2,4a,5,6,7,8,8a-octahydro-1-naphthalenecarboxylic acid	HIVVBTLNCFFLPO	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_produced			
224055	CCMSLIB00003139611	Spectral Match to Met-Leu from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
224597	CCMSLIB00003138234	Spectral Match to Phe-Pro from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
224685	CCMSLIB00003137861	Spectral Match to Phe-Pro from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
225146	CCMSLIB00003137900	Spectral Match to Ile-Met from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
225155	CCMSLIB00003139611	Spectral Match to Met-Leu from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
225176	CCMSLIB00003136622	Spectral Match to Ile-Met from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
225347	CCMSLIB00003138143	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
225360	CCMSLIB00003136426	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
225919	CCMSLIB00003138437	Spectral Match to Lithocholic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
225920	CCMSLIB00003138437	Spectral Match to Lithocholic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
225925	CCMSLIB00003138437	Spectral Match to Lithocholic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
225942	CCMSLIB00003136426	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
225979	CCMSLIB00003138437	Spectral Match to Lithocholic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226094	CCMSLIB00003136374	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226202	CCMSLIB00003136374	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226208	CCMSLIB00003136374	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226227	CCMSLIB00003136115	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226228	CCMSLIB00003136374	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226229	CCMSLIB00003136691	Spectral Match to Conjugated linoleic acid (9E,11E) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226232	CCMSLIB00003136426	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226234	CCMSLIB00003136374	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226237	CCMSLIB00003136374	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226239	CCMSLIB00005436020	Talaromycin A	VDWRKBZMQNPUOB	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct|fungal|fungal_produced			
226243	CCMSLIB00003136426	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226251	CCMSLIB00003136374	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226255	CCMSLIB00003136374	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226276	CCMSLIB00003136426	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226278	CCMSLIB00003136374	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226279	CCMSLIB00003136374	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226284	CCMSLIB00003136426	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226287	CCMSLIB00003136426	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226303	CCMSLIB00003136426	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226304	CCMSLIB00003136374	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226321	CCMSLIB00003136374	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226328	CCMSLIB00003136426	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226342	CCMSLIB00003136691	Spectral Match to Conjugated linoleic acid (9E,11E) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226371	CCMSLIB00003136374	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226373	CCMSLIB00003136374	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226401	CCMSLIB00003136374	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226406	CCMSLIB00003136374	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226413	CCMSLIB00003136374	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226425	CCMSLIB00003136426	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226493	CCMSLIB00003136426	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226506	CCMSLIB00003136426	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226590	CCMSLIB00003136374	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
22665	CCMSLIB00000221715	Massbank:PB000420 Arginine|2-amino-5-(diaminomethylideneamino)pentanoic acid	ODKSFYDXXFIFQN	Tags Present	Check Current Tags and Add if Incomplete																	bacterialdrug|food|animal|naturalproduct	10088|Mus	blood|cerebrospinal fluid|feces|milk|saliva|sweat|urine	|food consumption|drug or medication use
22670	CCMSLIB00003137498	Spectral Match to L-Arginine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
22671	CCMSLIB00003137498	Spectral Match to L-Arginine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
22677	CCMSLIB00003137498	Spectral Match to L-Arginine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226863	CCMSLIB00003136426	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
226869	CCMSLIB00003136374	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
22899	CCMSLIB00003137498	Spectral Match to L-Arginine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
231917	CCMSLIB00003137123	Spectral Match to Val-Phe from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
231935	CCMSLIB00005748443	Massbank:PR311013 Feruloyl putrescine (isomer of 1173)	SFUVCMKSYKHYLD	Tags Present	Check Current Tags and Add if Incomplete																	human|naturalproduct	9606|Homo sapiens		
231936	CCMSLIB00003137123	Spectral Match to Val-Phe from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
232255	CCMSLIB00002316426	phenylacetylglutamine	JFLIEFSWGNOPJJ	Tags Present	Check Current Tags and Add if Incomplete																	human|food	9606|Homo sapiens	blood|feces|urine	|food consumption
232302	CCMSLIB00003135404	Spectral Match to 12(S)-Hydroxy-16-heptadecynoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
232435	CCMSLIB00003135404	Spectral Match to 12(S)-Hydroxy-16-heptadecynoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
233310	CCMSLIB00003138782	Spectral Match to Phe-Val from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
234003	CCMSLIB00003139895	Spectral Match to 9-Octadecenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
234026	CCMSLIB00003139895	Spectral Match to 9-Octadecenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
234191	CCMSLIB00003139895	Spectral Match to 9-Octadecenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
234194	CCMSLIB00003139895	Spectral Match to 9-Octadecenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
234195	CCMSLIB00003139895	Spectral Match to 9-Octadecenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
234197	CCMSLIB00003139094	Spectral Match to 9-Octadecenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
234198	CCMSLIB00003139895	Spectral Match to 9-Octadecenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
234208	CCMSLIB00003139094	Spectral Match to 9-Octadecenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
234216	CCMSLIB00003139895	Spectral Match to 9-Octadecenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
234222	CCMSLIB00003139895	Spectral Match to 9-Octadecenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
234255	CCMSLIB00003139895	Spectral Match to 9-Octadecenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
234291	CCMSLIB00003139895	Spectral Match to 9-Octadecenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
234302	CCMSLIB00003139895	Spectral Match to 9-Octadecenamide, (Z)- from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
23702	CCMSLIB00000221715	Massbank:PB000420 Arginine|2-amino-5-(diaminomethylideneamino)pentanoic acid	ODKSFYDXXFIFQN	Tags Present	Check Current Tags and Add if Incomplete																	bacterialdrug|food|animal|naturalproduct	10088|Mus	blood|cerebrospinal fluid|feces|milk|saliva|sweat|urine	|food consumption|drug or medication use
23703	CCMSLIB00003137498	Spectral Match to L-Arginine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
23705	CCMSLIB00003137498	Spectral Match to L-Arginine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
23717	CCMSLIB00003137498	Spectral Match to L-Arginine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
237296	CCMSLIB00003135017	Spectral Match to Thr-Phe from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
237493	CCMSLIB00003136236	Spectral Match to Enterodiol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
237505	CCMSLIB00003138179	Spectral Match to Enterodiol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
238076	CCMSLIB00003139262	Spectral Match to Thr-Phe from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
238091	CCMSLIB00003135017	Spectral Match to Thr-Phe from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
23861	CCMSLIB00000223219	Massbank:PR100395 N-Acetyl-DL-aspartic acid|Ac-Asp|NAA|N-Acetyl-aspartate|N-Acetylaspartate|2-acetamidobutanedioic acid	OTCCIMWXFLJLIA	Tags Present	Check Current Tags and Add if Incomplete																	food|human|naturalproduct	9606|Homo sapiens		food consumption
23899	CCMSLIB00000221744	Massbank:PB000434 Citrulline|2-amino-5-(carbamoylamino)pentanoic acid	RHGKLRLOHDJJDR	Tags Missing	Add Tags																				
238992	CCMSLIB00005775300	Massbank:AU246806 Tri-isobutylphosphate|Triisobutyl phosphate|tris(2-methylpropyl) phosphate	HRKAMJBPFPHCSD	Tags Present	Check Current Tags and Add if Incomplete																	environmental			
240236	CCMSLIB00003135134	Spectral Match to cis,cis-9,12-Octadecadien-1-ol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
240239	CCMSLIB00003136223	Spectral Match to cis,cis-9,12-Octadecadien-1-ol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
240309	CCMSLIB00003135134	Spectral Match to cis,cis-9,12-Octadecadien-1-ol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
241356	CCMSLIB00000578029	ADENOSINE	OIRDTQYFTABQOQ	Tags Present	Check Current Tags and Add if Incomplete																	bacterialdrug|food|naturalproduct	73337|Ceratotherium simum simum	blood|cerebrospinal fluid|feces|milk|saliva|urine	|food consumption|drug or medication use
244268	CCMSLIB00003139726	Spectral Match to Leu-His from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
246426	CCMSLIB00003137464	Spectral Match to Retinol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
246432	CCMSLIB00003137464	Spectral Match to Retinol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
246521	CCMSLIB00003137464	Spectral Match to Retinol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
246523	CCMSLIB00003137464	Spectral Match to Retinol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
246776	CCMSLIB00003137270	Spectral Match to cis-7-Hexadecenoic acid methyl ester from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
248931	CCMSLIB00005743992	Massbank:PR301948 Genistein	TZBJGXHYKVUXJN	Tags Present	Check Current Tags and Add if Incomplete																	food|drug|plant|naturalproduct_plant|naturalproduct|bacterial|bacterial_produced		blood|feces|urine	|food consumption|drug or medication use
249028	CCMSLIB00003137175	Spectral Match to 5-Hydroxy-7-methoxyflavanone from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
249029	CCMSLIB00000213233	Massbank:FFF00087 Dehydroepiandrosterone	FMGSKLZLMKYGDP	Tags Present	Check Current Tags and Add if Incomplete																	drug|naturalproduct			drug or medication use
249678	CCMSLIB00000213233	Massbank:FFF00087 Dehydroepiandrosterone	FMGSKLZLMKYGDP	Tags Present	Check Current Tags and Add if Incomplete																	drug|naturalproduct			drug or medication use
250937	CCMSLIB00000213233	Massbank:FFF00087 Dehydroepiandrosterone	FMGSKLZLMKYGDP	Tags Present	Check Current Tags and Add if Incomplete																	drug|naturalproduct			drug or medication use
250988	CCMSLIB00000213233	Massbank:FFF00087 Dehydroepiandrosterone	FMGSKLZLMKYGDP	Tags Present	Check Current Tags and Add if Incomplete																	drug|naturalproduct			drug or medication use
254277	CCMSLIB00000566778	Piperyline	GQIJYUMTOUBHSH	Tags Present	Check Current Tags and Add if Incomplete																	food|human|naturalproduct	9606|Homo sapiens	blood|urine|saliva	|food consumption
254568	CCMSLIB00003136448	Spectral Match to N-Lauroylsarcosine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
255076	CCMSLIB00003138856	Spectral Match to Naringenin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
255493	CCMSLIB00000213328	Massbank:FFF00141 5-beta-Androstan-17-beta-ol-3-one|5-beta-Dihydrotestosterone|Etiocholane-17-beta-ol-3-one	NVKAWKQGWWIWPM	Tags Present	Check Current Tags and Add if Incomplete																	animal|human		feces	
